train_id,date,day_of_week,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,current_delay_min,distance_km,weather,congestion_level,hour_of_day,is_weekend,is_holiday,future_delay_min,future_delay_hms
T105,2024-01-01,Monday,Durgapur,Asansol,17:20,18:00,17:33,18:45,13.1,40,Fog,Medium,17,False,False,45.8,0h 45m 48s
T105,2024-01-01,Monday,Asansol,Dhanbad,18:00,19:00,18:45,20:28,45.8,60,Fog,High,18,False,False,88.8,1h 28m 48s
T106,2024-01-01,Monday,Howrah,Bardhaman,17:00,18:30,17:00,19:06,0.0,95,Rain,Medium,17,False,False,36.7,0h 36m 42s
T106,2024-01-01,Monday,Bardhaman,Durgapur,18:30,19:20,19:06,20:32,36.7,55,Clear,High,18,False,False,72.5,1h 12m 30s
T106,2024-01-01,Monday,Durgapur,Asansol,19:20,20:00,20:32,21:49,72.5,40,Clear,High,19,False,False,109.4,1h 49m 24s
T106,2024-01-01,Monday,Asansol,Dhanbad,20:00,21:00,21:49,23:05,109.4,60,Clear,Low,20,False,False,125.7,2h 5m 42s
T107,2024-01-01,Monday,Howrah,Bardhaman,19:00,20:30,19:00,21:19,0.0,95,Fog,Medium,19,False,False,49.3,0h 49m 18s
T107,2024-01-01,Monday,Bardhaman,Durgapur,20:30,21:20,21:19,22:29,49.3,55,Fog,Low,20,False,False,69.6,1h 9m 36s
T107,2024-01-01,Monday,Durgapur,Asansol,21:20,22:00,22:29,23:20,69.6,40,Clear,Low,21,False,False,80.7,1h 20m 42s
T107,2024-01-01,Monday,Asansol,Dhanbad,22:00,23:00,23:20,00:39,80.7,60,Clear,Medium,22,False,False,100.0,1h 40m 0s
T100,2024-01-02,Tuesday,Howrah,Bardhaman,05:00,06:30,05:00,06:44,0.0,95,Clear,Low,5,False,False,14.4,0h 14m 24s
T100,2024-01-02,Tuesday,Bardhaman,Durgapur,06:30,07:20,06:44,07:58,14.4,55,Clear,Medium,6,False,False,38.2,0h 38m 12s
T100,2024-01-02,Tuesday,Durgapur,Asansol,07:20,08:00,07:58,08:54,38.2,40,Clear,High,7,False,False,54.0,0h 54m 0s
T100,2024-01-02,Tuesday,Asansol,Dhanbad,08:00,09:00,08:54,10:13,54.0,60,Clear,High,8,False,False,73.8,1h 13m 48s
T101,2024-01-02,Tuesday,Howrah,Bardhaman,07:00,08:30,07:00,08:37,0.0,95,Clear,Medium,7,False,False,7.8,0h 7m 48s
T101,2024-01-02,Tuesday,Bardhaman,Durgapur,08:30,09:20,08:37,10:01,7.8,55,Fog,Medium,8,False,False,41.5,0h 41m 30s
T101,2024-01-02,Tuesday,Durgapur,Asansol,09:20,10:00,10:01,11:16,41.5,40,Fog,High,9,False,False,76.7,1h 16m 42s
T101,2024-01-02,Tuesday,Asansol,Dhanbad,10:00,11:00,11:16,12:24,76.7,60,Clear,Low,10,False,False,84.5,1h 24m 30s
T102,2024-01-02,Tuesday,Howrah,Bardhaman,09:00,10:30,09:00,11:05,0.0,95,Clear,High,9,False,False,36.0,0h 36m 0s
T102,2024-01-02,Tuesday,Bardhaman,Durgapur,10:30,11:20,11:05,12:07,36.0,55,Clear,Low,10,False,False,47.6,0h 47m 36s
T102,2024-01-02,Tuesday,Durgapur,Asansol,11:20,12:00,12:07,13:15,47.6,40,Rain,Medium,11,False,False,75.0,1h 15m 0s
T102,2024-01-02,Tuesday,Asansol,Dhanbad,12:00,13:00,13:15,14:45,75.0,60,Clear,High,12,False,False,105.4,1h 45m 24s
T103,2024-01-02,Tuesday,Howrah,Bardhaman,11:00,12:30,11:00,12:56,0.0,95,Clear,Low,11,False,False,26.0,0h 26m 0s
T103,2024-01-02,Tuesday,Bardhaman,Durgapur,12:30,13:20,12:56,14:04,26.0,55,Clear,Low,12,False,False,44.5,0h 44m 30s
T103,2024-01-02,Tuesday,Durgapur,Asansol,13:20,14:00,14:04,15:04,44.5,40,Clear,Low,13,False,False,64.0,1h 4m 0s
T103,2024-01-02,Tuesday,Asansol,Dhanbad,14:00,15:00,15:04,16:28,64.0,60,Clear,Medium,14,False,False,88.4,1h 28m 24s
T104,2024-01-02,Tuesday,Howrah,Bardhaman,13:00,14:30,13:00,14:42,0.0,95,Clear,Low,13,False,False,12.1,0h 12m 6s
T104,2024-01-02,Tuesday,Bardhaman,Durgapur,14:30,15:20,14:42,15:35,12.1,55,Clear,Low,14,False,False,15.1,0h 15m 6s
T104,2024-01-02,Tuesday,Durgapur,Asansol,15:20,16:00,15:35,16:40,15.1,40,Rain,Medium,15,False,False,40.8,0h 40m 48s
T104,2024-01-02,Tuesday,Asansol,Dhanbad,16:00,17:00,16:40,17:45,40.8,60,Clear,Low,16,False,False,45.8,0h 45m 48s
T105,2024-01-02,Tuesday,Howrah,Bardhaman,15:00,16:30,15:00,16:30,0.0,95,Clear,Low,15,False,False,0.0,0h 0m 0s
T105,2024-01-02,Tuesday,Bardhaman,Durgapur,16:30,17:20,16:30,17:22,0.0,55,Clear,Low,16,False,False,2.5,0h 2m 30s
T105,2024-01-02,Tuesday,Durgapur,Asansol,17:20,18:00,17:22,18:32,2.5,40,Clear,High,17,False,False,32.3,0h 32m 18s
T105,2024-01-02,Tuesday,Asansol,Dhanbad,18:00,19:00,18:32,19:58,32.3,60,Fog,High,18,False,False,58.6,0h 58m 36s
T106,2024-01-02,Tuesday,Howrah,Bardhaman,17:00,18:30,17:00,19:02,0.0,95,Rain,Medium,17,False,False,32.5,0h 32m 30s
T106,2024-01-02,Tuesday,Bardhaman,Durgapur,18:30,19:20,19:02,20:11,32.5,55,Clear,Low,18,False,False,51.2,0h 51m 12s
T106,2024-01-02,Tuesday,Durgapur,Asansol,19:20,20:00,20:11,21:27,51.2,40,Clear,High,19,False,False,87.1,1h 27m 6s
T106,2024-01-02,Tuesday,Asansol,Dhanbad,20:00,21:00,21:27,23:08,87.1,60,Rain,Medium,20,False,False,128.2,2h 8m 12s
T107,2024-01-02,Tuesday,Howrah,Bardhaman,19:00,20:30,19:00,21:28,0.0,95,Rain,High,19,False,False,58.9,0h 58m 54s
T107,2024-01-02,Tuesday,Bardhaman,Durgapur,20:30,21:20,21:28,22:54,58.9,55,Rain,Medium,20,False,False,94.5,1h 34m 30s
T107,2024-01-02,Tuesday,Durgapur,Asansol,21:20,22:00,22:54,23:47,94.5,40,Clear,Low,21,False,False,107.2,1h 47m 12s
T107,2024-01-02,Tuesday,Asansol,Dhanbad,22:00,23:00,23:47,01:05,107.2,60,Clear,Low,22,False,False,125.3,2h 5m 18s
T100,2024-01-03,Wednesday,Howrah,Bardhaman,05:00,06:30,05:00,06:37,0.0,95,Clear,Medium,5,False,False,7.3,0h 7m 18s
T100,2024-01-03,Wednesday,Bardhaman,Durgapur,06:30,07:20,06:37,07:46,7.3,55,Clear,Medium,6,False,False,26.6,0h 26m 36s
T100,2024-01-03,Wednesday,Durgapur,Asansol,07:20,08:00,07:46,08:36,26.6,40,Clear,Low,7,False,False,37.0,0h 37m 0s
T100,2024-01-03,Wednesday,Asansol,Dhanbad,08:00,09:00,08:36,10:24,37.0,60,Clear,High,8,False,False,85.0,1h 25m 0s
T101,2024-01-03,Wednesday,Howrah,Bardhaman,07:00,08:30,07:00,08:38,0.0,95,Clear,High,7,False,False,8.6,0h 8m 36s
T101,2024-01-03,Wednesday,Bardhaman,Durgapur,08:30,09:20,08:38,09:47,8.6,55,Rain,Medium,8,False,False,27.4,0h 27m 24s
T101,2024-01-03,Wednesday,Durgapur,Asansol,09:20,10:00,09:47,10:41,27.4,40,Clear,Medium,9,False,False,41.8,0h 41m 48s
T101,2024-01-03,Wednesday,Asansol,Dhanbad,10:00,11:00,10:41,11:47,41.8,60,Clear,Medium,10,False,False,47.3,0h 47m 18s
T102,2024-01-03,Wednesday,Howrah,Bardhaman,09:00,10:30,09:00,11:43,0.0,95,Fog,High,9,False,False,73.5,1h 13m 30s
T102,2024-01-03,Wednesday,Bardhaman,Durgapur,10:30,11:20,11:43,12:47,73.5,55,Clear,Low,10,False,False,87.2,1h 27m 12s
T102,2024-01-03,Wednesday,Durgapur,Asansol,11:20,12:00,12:47,13:35,87.2,40,Clear,Low,11,False,False,95.9,1h 35m 54s
T102,2024-01-03,Wednesday,Asansol,Dhanbad,12:00,13:00,13:35,14:47,95.9,60,Clear,Low,12,False,False,107.4,1h 47m 24s
T103,2024-01-03,Wednesday,Howrah,Bardhaman,11:00,12:30,11:00,12:50,0.0,95,Clear,Low,11,False,False,20.9,0h 20m 54s
T103,2024-01-03,Wednesday,Bardhaman,Durgapur,12:30,13:20,12:50,13:57,20.9,55,Clear,Low,12,False,False,37.4,0h 37m 24s
T103,2024-01-03,Wednesday,Durgapur,Asansol,13:20,14:00,13:57,14:56,37.4,40,Clear,Medium,13,False,False,56.7,0h 56m 42s
T103,2024-01-03,Wednesday,Asansol,Dhanbad,14:00,15:00,14:56,16:25,56.7,60,Clear,Medium,14,False,False,85.9,1h 25m 54s
T104,2024-01-03,Wednesday,Howrah,Bardhaman,13:00,14:30,13:00,14:33,0.0,95,Clear,Low,13,False,False,3.2,0h 3m 12s
T104,2024-01-03,Wednesday,Bardhaman,Durgapur,14:30,15:20,14:33,15:33,3.2,55,Clear,Medium,14,False,False,13.5,0h 13m 30s
T104,2024-01-03,Wednesday,Durgapur,Asansol,15:20,16:00,15:33,16:50,13.5,40,Fog,Medium,15,False,False,50.1,0h 50m 6s
T104,2024-01-03,Wednesday,Asansol,Dhanbad,16:00,17:00,16:50,17:55,50.1,60,Fog,Low,16,False,False,55.4,0h 55m 24s
T105,2024-01-03,Wednesday,Howrah,Bardhaman,15:00,16:30,15:00,16:30,0.0,95,Clear,Low,15,False,False,0.2,0h 0m 12s
T105,2024-01-03,Wednesday,Bardhaman,Durgapur,16:30,17:20,16:30,17:32,0.2,55,Rain,Low,16,False,False,12.7,0h 12m 42s
T105,2024-01-03,Wednesday,Durgapur,Asansol,17:20,18:00,17:32,18:43,12.7,40,Clear,High,17,False,False,43.6,0h 43m 36s
T105,2024-01-03,Wednesday,Asansol,Dhanbad,18:00,19:00,18:43,19:58,43.6,60,Clear,High,18,False,False,58.4,0h 58m 24s
T106,2024-01-03,Wednesday,Howrah,Bardhaman,17:00,18:30,17:00,19:24,0.0,95,Rain,High,17,False,False,54.5,0h 54m 30s
T106,2024-01-03,Wednesday,Bardhaman,Durgapur,18:30,19:20,19:24,20:46,54.5,55,Clear,High,18,False,False,86.8,1h 26m 48s
T106,2024-01-03,Wednesday,Durgapur,Asansol,19:20,20:00,20:46,22:30,86.8,40,Rain,High,19,False,False,150.5,2h 30m 30s
T106,2024-01-03,Wednesday,Asansol,Dhanbad,20:00,21:00,22:30,00:10,150.5,60,Clear,High,20,False,False,190.3,3h 10m 18s
T107,2024-01-03,Wednesday,Howrah,Bardhaman,19:00,20:30,19:00,21:22,0.0,95,Fog,High,19,False,False,52.4,0h 52m 24s
T107,2024-01-03,Wednesday,Bardhaman,Durgapur,20:30,21:20,21:22,22:28,52.4,55,Clear,Medium,20,False,False,68.4,1h 8m 24s
T107,2024-01-03,Wednesday,Durgapur,Asansol,21:20,22:00,22:28,23:20,68.4,40,Clear,Low,21,False,False,80.8,1h 20m 48s
T107,2024-01-03,Wednesday,Asansol,Dhanbad,22:00,23:00,23:20,00:43,80.8,60,Clear,Medium,22,False,False,103.4,1h 43m 24s
T100,2024-01-04,Thursday,Howrah,Bardhaman,05:00,06:30,05:00,06:40,0.0,95,Clear,Low,5,False,False,10.9,0h 10m 54s
T100,2024-01-04,Thursday,Bardhaman,Durgapur,06:30,07:20,06:40,07:38,10.9,55,Clear,Low,6,False,False,18.4,0h 18m 24s
T100,2024-01-04,Thursday,Durgapur,Asansol,07:20,08:00,07:38,08:44,18.4,40,Clear,High,7,False,False,44.0,0h 44m 0s
T100,2024-01-04,Thursday,Asansol,Dhanbad,08:00,09:00,08:44,09:57,44.0,60,Clear,High,8,False,False,57.2,0h 57m 12s
T101,2024-01-04,Thursday,Howrah,Bardhaman,07:00,08:30,07:00,09:00,0.0,95,Rain,High,7,False,False,30.1,0h 30m 6s
T101,2024-01-04,Thursday,Bardhaman,Durgapur,08:30,09:20,09:00,10:25,30.1,55,Clear,High,8,False,False,65.7,1h 5m 42s
T101,2024-01-04,Thursday,Durgapur,Asansol,09:20,10:00,10:25,11:22,65.7,40,Clear,High,9,False,False,82.2,1h 22m 12s
T101,2024-01-04,Thursday,Asansol,Dhanbad,10:00,11:00,11:22,12:30,82.2,60,Clear,Medium,10,False,False,90.5,1h 30m 30s
T102,2024-01-04,Thursday,Howrah,Bardhaman,09:00,10:30,09:00,11:04,0.0,95,Clear,High,9,False,False,34.5,0h 34m 30s
T102,2024-01-04,Thursday,Bardhaman,Durgapur,10:30,11:20,11:04,12:12,34.5,55,Clear,Medium,10,False,False,52.8,0h 52m 48s
T102,2024-01-04,Thursday,Durgapur,Asansol,11:20,12:00,12:12,13:17,52.8,40,Clear,Medium,11,False,False,77.2,1h 17m 12s
T102,2024-01-04,Thursday,Asansol,Dhanbad,12:00,13:00,13:17,14:47,77.2,60,Clear,High,12,False,False,107.9,1h 47m 54s
T103,2024-01-04,Thursday,Howrah,Bardhaman,11:00,12:30,11:00,12:43,0.0,95,Clear,Low,11,False,False,13.3,0h 13m 18s
T103,2024-01-04,Thursday,Bardhaman,Durgapur,12:30,13:20,12:43,13:48,13.3,55,Clear,Low,12,False,False,28.4,0h 28m 24s
T103,2024-01-04,Thursday,Durgapur,Asansol,13:20,14:00,13:48,15:28,28.4,40,Fog,High,13,False,False,88.2,1h 28m 12s
T103,2024-01-04,Thursday,Asansol,Dhanbad,14:00,15:00,15:28,16:51,88.2,60,Clear,Medium,14,False,False,111.2,1h 51m 12s
T104,2024-01-04,Thursday,Howrah,Bardhaman,13:00,14:30,13:00,14:59,0.0,95,Fog,Medium,13,False,False,29.8,0h 29m 48s
T104,2024-01-04,Thursday,Bardhaman,Durgapur,14:30,15:20,14:59,15:59,29.8,55,Fog,Low,14,False,False,39.9,0h 39m 54s
T104,2024-01-04,Thursday,Durgapur,Asansol,15:20,16:00,15:59,17:17,39.9,40,Fog,Medium,15,False,False,77.6,1h 17m 36s
T104,2024-01-04,Thursday,Asansol,Dhanbad,16:00,17:00,17:17,18:20,77.6,60,Clear,Low,16,False,False,80.7,1h 20m 42s
T105,2024-01-04,Thursday,Howrah,Bardhaman,15:00,16:30,15:00,17:02,0.0,95,Rain,High,15,False,False,32.7,0h 32m 42s
T105,2024-01-04,Thursday,Bardhaman,Durgapur,16:30,17:20,17:02,17:56,32.7,55,Clear,Low,16,False,False,36.2,0h 36m 12s
T105,2024-01-04,Thursday,Durgapur,Asansol,17:20,18:00,17:56,19:00,36.2,40,Clear,High,17,False,False,60.4,1h 0m 24s
T105,2024-01-04,Thursday,Asansol,Dhanbad,18:00,19:00,19:00,20:38,60.4,60,Clear,High,18,False,False,98.4,1h 38m 24s
T106,2024-01-04,Thursday,Howrah,Bardhaman,17:00,18:30,17:00,19:18,0.0,95,Clear,High,17,False,False,48.3,0h 48m 18s
T106,2024-01-04,Thursday,Bardhaman,Durgapur,18:30,19:20,19:18,21:13,48.3,55,Rain,High,18,False,False,113.7,1h 53m 42s
T106,2024-01-04,Thursday,Durgapur,Asansol,19:20,20:00,21:13,22:20,113.7,40,Clear,Medium,19,False,False,140.0,2h 20m 0s
T106,2024-01-04,Thursday,Asansol,Dhanbad,20:00,21:00,22:20,23:36,140.0,60,Clear,Low,20,False,False,156.9,2h 36m 54s
T107,2024-01-04,Thursday,Howrah,Bardhaman,19:00,20:30,19:00,21:14,0.0,95,Clear,High,19,False,False,44.6,0h 44m 36s
T107,2024-01-04,Thursday,Bardhaman,Durgapur,20:30,21:20,21:14,22:25,44.6,55,Rain,High,20,False,False,65.1,1h 5m 6s
T107,2024-01-04,Thursday,Durgapur,Asansol,21:20,22:00,22:25,23:19,65.1,40,Clear,High,21,False,False,79.5,1h 19m 30s
T107,2024-01-04,Thursday,Asansol,Dhanbad,22:00,23:00,23:19,00:31,79.5,60,Clear,Low,22,False,False,91.7,1h 31m 42s
T100,2024-01-05,Friday,Howrah,Bardhaman,05:00,06:30,05:00,06:34,0.0,95,Clear,Low,5,False,False,4.5,0h 4m 30s
T100,2024-01-05,Friday,Bardhaman,Durgapur,06:30,07:20,06:34,07:39,4.5,55,Rain,Low,6,False,False,19.9,0h 19m 54s
T100,2024-01-05,Friday,Durgapur,Asansol,07:20,08:00,07:39,08:27,19.9,40,Clear,Low,7,False,False,27.9,0h 27m 54s
T100,2024-01-05,Friday,Asansol,Dhanbad,08:00,09:00,08:27,09:34,27.9,60,Clear,Low,8,False,False,34.4,0h 34m 24s
T101,2024-01-05,Friday,Howrah,Bardhaman,07:00,08:30,07:00,08:43,0.0,95,Clear,High,7,False,False,13.8,0h 13m 48s
T101,2024-01-05,Friday,Bardhaman,Durgapur,08:30,09:20,08:43,09:52,13.8,55,Clear,High,8,False,False,32.7,0h 32m 42s
T101,2024-01-05,Friday,Durgapur,Asansol,09:20,10:00,09:52,11:05,32.7,40,Rain,High,9,False,False,65.5,1h 5m 30s
T101,2024-01-05,Friday,Asansol,Dhanbad,10:00,11:00,11:05,12:11,65.5,60,Clear,Low,10,False,False,71.6,1h 11m 36s
T102,2024-01-05,Friday,Howrah,Bardhaman,09:00,10:30,09:00,10:54,0.0,95,Clear,High,9,False,False,24.6,0h 24m 36s
T102,2024-01-05,Friday,Bardhaman,Durgapur,10:30,11:20,10:54,12:05,24.6,55,Clear,Medium,10,False,False,45.9,0h 45m 54s
T102,2024-01-05,Friday,Durgapur,Asansol,11:20,12:00,12:05,13:01,45.9,40,Clear,Medium,11,False,False,61.7,1h 1m 42s
T102,2024-01-05,Friday,Asansol,Dhanbad,12:00,13:00,13:01,14:09,61.7,60,Clear,Low,12,False,False,69.6,1h 9m 36s
T103,2024-01-05,Friday,Howrah,Bardhaman,11:00,12:30,11:00,12:40,0.0,95,Clear,Low,11,False,False,10.4,0h 10m 24s
T103,2024-01-05,Friday,Bardhaman,Durgapur,12:30,13:20,12:40,13:52,10.4,55,Clear,Low,12,False,False,32.3,0h 32m 18s
T103,2024-01-05,Friday,Durgapur,Asansol,13:20,14:00,13:52,15:03,32.3,40,Rain,Low,13,False,False,64.0,1h 4m 0s
T103,2024-01-05,Friday,Asansol,Dhanbad,14:00,15:00,15:03,16:22,64.0,60,Clear,Medium,14,False,False,82.6,1h 22m 36s
T104,2024-01-05,Friday,Howrah,Bardhaman,13:00,14:30,13:00,14:32,0.0,95,Clear,Low,13,False,False,2.2,0h 2m 12s
T104,2024-01-05,Friday,Bardhaman,Durgapur,14:30,15:20,14:32,15:29,2.2,55,Clear,Medium,14,False,False,9.3,0h 9m 18s
T104,2024-01-05,Friday,Durgapur,Asansol,15:20,16:00,15:29,16:11,9.3,40,Clear,Low,15,False,False,11.1,0h 11m 6s
T104,2024-01-05,Friday,Asansol,Dhanbad,16:00,17:00,16:11,17:12,11.1,60,Clear,Low,16,False,False,12.8,0h 12m 48s
T105,2024-01-05,Friday,Howrah,Bardhaman,15:00,16:30,15:00,16:49,0.0,95,Clear,High,15,False,False,19.6,0h 19m 36s
T105,2024-01-05,Friday,Bardhaman,Durgapur,16:30,17:20,16:49,17:58,19.6,55,Clear,High,16,False,False,38.3,0h 38m 18s
T105,2024-01-05,Friday,Durgapur,Asansol,17:20,18:00,17:58,19:19,38.3,40,Fog,High,17,False,False,79.4,1h 19m 24s
T105,2024-01-05,Friday,Asansol,Dhanbad,18:00,19:00,19:19,20:38,79.4,60,Fog,High,18,False,False,99.0,1h 39m 0s
T106,2024-01-05,Friday,Howrah,Bardhaman,17:00,18:30,17:00,18:46,0.0,95,Rain,Medium,17,False,False,16.9,0h 16m 54s
T106,2024-01-05,Friday,Bardhaman,Durgapur,18:30,19:20,18:46,20:16,16.9,55,Clear,High,18,False,False,56.6,0h 56m 36s
T106,2024-01-05,Friday,Durgapur,Asansol,19:20,20:00,20:16,21:19,56.6,40,Clear,High,19,False,False,79.7,1h 19m 42s
T106,2024-01-05,Friday,Asansol,Dhanbad,20:00,21:00,21:19,22:37,79.7,60,Clear,Low,20,False,False,97.5,1h 37m 30s
T107,2024-01-05,Friday,Howrah,Bardhaman,19:00,20:30,19:00,21:06,0.0,95,Clear,High,19,False,False,36.4,0h 36m 24s
T107,2024-01-05,Friday,Bardhaman,Durgapur,20:30,21:20,21:06,22:21,36.4,55,Clear,Medium,20,False,False,61.7,1h 1m 42s
T107,2024-01-05,Friday,Durgapur,Asansol,21:20,22:00,22:21,23:13,61.7,40,Clear,Low,21,False,False,74.0,1h 14m 0s
T107,2024-01-05,Friday,Asansol,Dhanbad,22:00,23:00,23:13,00:55,74.0,60,Rain,High,22,False,False,115.2,1h 55m 12s
T100,2024-01-06,Saturday,Howrah,Bardhaman,05:00,06:30,05:00,06:49,0.0,95,Fog,Low,5,True,False,19.5,0h 19m 30s
T100,2024-01-06,Saturday,Bardhaman,Durgapur,06:30,07:20,06:49,07:54,19.5,55,Rain,Low,6,True,False,34.5,0h 34m 30s
T100,2024-01-06,Saturday,Durgapur,Asansol,07:20,08:00,07:54,08:53,34.5,40,Clear,Medium,7,True,False,53.4,0h 53m 24s
T100,2024-01-06,Saturday,Asansol,Dhanbad,08:00,09:00,08:53,10:11,53.4,60,Rain,Low,8,True,False,71.5,1h 11m 30s
T101,2024-01-06,Saturday,Howrah,Bardhaman,07:00,08:30,07:00,08:30,0.0,95,Clear,Low,7,True,False,0.0,0h 0m 0s
T101,2024-01-06,Saturday,Bardhaman,Durgapur,08:30,09:20,08:30,09:30,0.0,55,Rain,Low,8,True,False,10.4,0h 10m 24s
T101,2024-01-06,Saturday,Durgapur,Asansol,09:20,10:00,09:30,10:34,10.4,40,Clear,High,9,True,False,34.2,0h 34m 12s
T101,2024-01-06,Saturday,Asansol,Dhanbad,10:00,11:00,10:34,11:53,34.2,60,Rain,Medium,10,True,False,53.1,0h 53m 6s
T102,2024-01-06,Saturday,Howrah,Bardhaman,09:00,10:30,09:00,10:44,0.0,95,Clear,Low,9,True,False,14.4,0h 14m 24s
T102,2024-01-06,Saturday,Bardhaman,Durgapur,10:30,11:20,10:44,11:50,14.4,55,Rain,Low,10,True,False,30.5,0h 30m 30s
T102,2024-01-06,Saturday,Durgapur,Asansol,11:20,12:00,11:50,12:44,30.5,40,Rain,Low,11,True,False,44.8,0h 44m 48s
T102,2024-01-06,Saturday,Asansol,Dhanbad,12:00,13:00,12:44,14:00,44.8,60,Clear,Medium,12,True,False,60.4,1h 0m 24s
T103,2024-01-06,Saturday,Howrah,Bardhaman,11:00,12:30,11:00,12:48,0.0,95,Clear,High,11,True,False,18.7,0h 18m 42s
T103,2024-01-06,Saturday,Bardhaman,Durgapur,12:30,13:20,12:48,13:56,18.7,55,Fog,Low,12,True,False,37.0,0h 37m 0s
T103,2024-01-06,Saturday,Durgapur,Asansol,13:20,14:00,13:56,15:13,37.0,40,Clear,High,13,True,False,73.0,1h 13m 0s
T103,2024-01-06,Saturday,Asansol,Dhanbad,14:00,15:00,15:13,16:50,73.0,60,Fog,Medium,14,True,False,110.5,1h 50m 30s
T104,2024-01-06,Saturday,Howrah,Bardhaman,13:00,14:30,13:00,14:30,0.0,95,Clear,Medium,13,True,False,0.6,0h 0m 36s
T104,2024-01-06,Saturday,Bardhaman,Durgapur,14:30,15:20,14:30,15:44,0.6,55,Rain,Low,14,True,False,24.3,0h 24m 18s
T104,2024-01-06,Saturday,Durgapur,Asansol,15:20,16:00,15:44,16:24,24.3,40,Clear,Low,15,True,False,24.3,0h 24m 18s
T104,2024-01-06,Saturday,Asansol,Dhanbad,16:00,17:00,16:24,17:24,24.3,60,Fog,Low,16,True,False,24.3,0h 24m 18s
T105,2024-01-06,Saturday,Howrah,Bardhaman,15:00,16:30,15:00,16:38,0.0,95,Clear,Low,15,True,False,8.5,0h 8m 30s
T105,2024-01-06,Saturday,Bardhaman,Durgapur,16:30,17:20,16:38,17:28,8.5,55,Clear,Low,16,True,False,8.5,0h 8m 30s
T105,2024-01-06,Saturday,Durgapur,Asansol,17:20,18:00,17:28,18:18,8.5,40,Clear,Medium,17,True,False,18.3,0h 18m 18s
